"Cycling Men's Road Race, Individual",Cycling
"Wrestling Men's Light-Flyweight, Freestyle",Wrestling
Cycling Women's 500 metres Time Trial,Cycling
Athletics Men's 100 metres,Athletics
Figure Skating Mixed Team,Figure Skating
"Wrestling Men's Light-Heavyweight, Freestyle",Wrestling
Table Tennis Women's Team,Table Tennis
Swimming Men's Plunge For Distance,Swimming
"Canoeing Men's Kayak Singles, 1,000 metres",Canoeing
Sailing Mixed Windsurfer,Sailing
Gymnastics Women's Team Portable Apparatus,Gymnastics
Cycling Women's BMX,Cycling
Gymnastics Women's Team All-Around,Gymnastics
Alpine Skiing Men's Downhill,Alpine Skiing
"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Shooting
Cross Country Skiing Men's 10 kilometres,Cross Country Skiing
Alpinism Mixed Alpinism,Alpinism
"Shooting Mixed Running Target, 50 metres",Shooting
Swimming Men's 200 metres Breaststroke,Swimming
"Art Competitions Mixed Sculpturing, Reliefs",Art Competitions
Sailing Mixed 30 metres,Sailing
Swimming Women's 400 metres Freestyle,Swimming
"Athletics Men's 3,000 metres, Team",Athletics
Synchronized Swimming Women's Solo,Synchronized Swimming
Bobsleigh Men's Four,Bobsleigh
Swimming Men's 50 yard Freestyle,Swimming
"Canoeing Women's Kayak Singles, Slalom",Canoeing
Nordic Combined Men's Individual,Nordic Combined
"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Shooting
"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",Shooting
Taekwondo Women's Flyweight,Taekwondo
Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
Athletics Men's Standing Long Jump,Athletics
Swimming Women's 800 metres Freestyle,Swimming
"Swimming Men's 1,500 metres Freestyle",Swimming
"Athletics Men's 3,000 metres Walk",Athletics
Snowboarding Men's Parallel Giant Slalom,Snowboarding
Athletics Men's Pentathlon,Athletics
"Gymnastics Men's Horizontal Bar, Teams",Gymnastics
"Cycling Men's Individual Pursuit, 4,000 metres",Cycling
Shooting Men's Unknown Event,Shooting
Swimming Women's 200 metres Breaststroke,Swimming
"Athletics Men's 5,000 metres, Team",Athletics
Rowing Women's Coxed Fours,Rowing
"Equestrianism Mixed Three-Day Event, Team",Equestrianism
"Fencing Men's Sabre, Masters, Individual",Fencing
"Athletics Men's 2,590 metres Steeplechase",Athletics
"Equestrianism Men's Jumping, Individual",Equestrianism
Diving Men's Synchronized Platform,Diving
Diving Women's Platform,Diving
Luge Mixed (Men)'s Doubles,Luge
Swimming Men's 200 metres Individual Medley,Swimming
"Canoeing Men's Kayak Doubles, 10,000 metres",Canoeing
Alpine Skiing Women's Super G,Alpine Skiing
"Fencing Men's epee, Individual",Fencing
Boxing Women's Lightweight,Boxing
Diving Men's Platform,Diving
Weightlifting Men's Middle-Heavyweight,Weightlifting
Swimming Men's 200 metres Butterfly,Swimming
Speed Skating Women's 500 metres,Speed Skating
"Cycling Men's Team Pursuit, 1,980 yards",Cycling
"Shooting Men's Free Pistol, 25 metres",Shooting
"Short Track Speed Skating Men's 1,000 metres",Short Track Speed Skating
Bobsleigh Women's Two,Bobsleigh
Cross Country Skiing Women's 20 kilometres,Cross Country Skiing
Athletics Women's 400 metres Hurdles,Athletics
"Shooting Men's Running Target, 50 metres",Shooting
Rugby Sevens Men's Rugby Sevens,Rugby Sevens
Gymnastics Women's Uneven Bars,Gymnastics
Athletics Men's Marathon,Athletics
Swimming Men's 100 Yard Backstroke,Swimming
"Art Competitions Mixed Music, Compositions For Orchestra",Art Competitions
Gymnastics Men's Club Swinging,Gymnastics
"Speed Skating Women's 1,000 metres",Speed Skating
Gymnastics Men's Individual All-Around,Gymnastics
"Shooting Men's Military Rifle, Any Position, 600 metres",Shooting
"Shooting Men's Free Pistol, 50 metres",Shooting
"Wrestling Women's Middleweight, Freestyle",Wrestling
Tennis Women's Singles,Tennis
"Speed Skating Men's 1,500 metres",Speed Skating
Sailing Mixed 2-3 Ton,Sailing
"Speed Skating Women's 3,000 metres",Speed Skating
"Canoeing Men's Folding Kayak Singles, 10 kilometres",Canoeing
"Canoeing Men's Kayak Singles, Slalom",Canoeing
Rowing Men's Coxed Eights,Rowing
Art Competitions Mixed Unknown Event,Art Competitions
Short Track Speed Skating Women's 500 metres,Short Track Speed Skating
Swimming Men's 4 x 250 metres Freestyle Relay,Swimming
Biathlon Women's 15 kilometres,Biathlon
Swimming Women's 200 metres Backstroke,Swimming
"Cycling Men's Tandem Sprint, 2,000 metres",Cycling
"Gymnastics Men's Individual All-Around, Field Sports",Gymnastics
"Shooting Men's Dueling Pistol, 30 metres, Team",Shooting
"Shooting Men's Military Rifle, Standing, 300 metres, Team",Shooting
Judo Women's Middleweight,Judo
Archery Men's Double American Round,Archery
"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Shooting
Boxing Men's Featherweight,Boxing
Athletics Men's 800 metres,Athletics
Weightlifting Men's Flyweight,Weightlifting
Triathlon Women's Olympic Distance,Triathlon
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Shooting
Diving Women's Springboard,Diving
Cycling Men's 1 mile,Cycling
"Archery Men's Target Archery, 33 metres, Individual",Archery
Athletics Men's All-Around Championship,Athletics
Swimming Men's 200 metres Backstroke,Swimming
"Cycling Men's 1,000 metres Time Trial",Cycling
Judo Men's Half-Lightweight,Judo
Boxing Men's Middleweight,Boxing
Baseball Men's Baseball,Baseball
Rowing Men's Quadruple Sculls,Rowing
Nordic Combined Men's Sprint,Nordic Combined
"Equestrianism Men's Three-Day Event, Team",Equestrianism
"Cycling Women's Individual Pursuit, 3,000 metres",Cycling
Rowing Women's Quadruple Sculls,Rowing
Weightlifting Women's Flyweight,Weightlifting
Swimming Men's 440 yard Freestyle,Swimming
Swimming Men's 4 x 50 Yard Freestyle Relay,Swimming
Shooting Men's Double Trap,Shooting
Taekwondo Women's Welterweight,Taekwondo
Athletics Women's 100 metres,Athletics
Archery Women's Double National Round,Archery
"Wrestling Men's Middleweight, Greco-Roman",Wrestling
Freestyle Skiing Women's Slopestyle,Freestyle Skiing
Sailing Women's Windsurfer,Sailing
"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",Shooting
Golf Men's Individual,Golf
Cycling Men's Points Race,Cycling
Table Tennis Women's Doubles,Table Tennis
Biathlon Men's 12.5 kilometres Pursuit,Biathlon
"Athletics Men's 4 mile, Team",Athletics
"Wrestling Men's Unlimited Class, Greco-Roman",Wrestling
Rowing Men's Coxless Pairs,Rowing
Art Competitions Mixed Literature,Art Competitions
"Shooting Men's Military Rifle, Three Positions, 300 metres",Shooting
"Shooting Men's Military Rifle, Prone, 600 metres",Shooting
Athletics Women's Javelin Throw,Athletics
Freestyle Skiing Men's Aerials,Freestyle Skiing
Archery Men's Individual,Archery
Boxing Men's Super-Heavyweight,Boxing
"Gymnastics Men's Team All-Around, Swedish System",Gymnastics
"Shooting Mixed Rapid-Fire Pistol, 25 metres",Shooting
"Art Competitions Mixed Music, Vocals",Art Competitions
Weightlifting Men's Heavyweight II,Weightlifting
"Shooting Men's Running Target, Single Shot, Team",Shooting
Archery Men's Team,Archery
"Equestrianism Men's Vaulting, Team",Equestrianism
Swimming Men's 100 metres Butterfly,Swimming
Swimming Women's 300 metres Freestyle,Swimming
Taekwondo Women's Heavyweight,Taekwondo
Snowboarding Women's Boardercross,Snowboarding
Athletics Men's 50 kilometres Walk,Athletics
Volleyball Women's Volleyball,Volleyball
Sailing Women's Two Person Dinghy,Sailing
Swimming Women's 10 kilometres Open Water,Swimming
Rowing Men's Single Sculls,Rowing
"Athletics Men's Cross-Country, Individual",Athletics
"Canoeing Men's Kayak Doubles, 200 metres",Canoeing
Athletics Men's Pole Vault,Athletics
Luge Mixed Team Relay,Luge
"Shooting Men's Rapid-Fire Pistol, 25 metres",Shooting
Sailing Mixed Open,Sailing
Snowboarding Women's Parallel Slalom,Snowboarding
Table Tennis Women's Singles,Table Tennis
Shooting Men's Skeet,Shooting
"Canoeing Men's Canadian Singles, Slalom",Canoeing
"Wrestling Women's Heavyweight, Freestyle",Wrestling
Cross Country Skiing Women's 10 kilometres,Cross Country Skiing
Roque Men's Singles,Roque
"Equestrianism Men's Vaulting, Individual",Equestrianism
"Shooting Mixed Free Pistol, 50 metres",Shooting
"Shooting Women's Air Pistol, 10 metres",Shooting
Athletics Men's 10 mile Walk,Athletics
Cross Country Skiing Women's 3 x 5 kilometres Relay,Cross Country Skiing
"Athletics Men's Discus Throw, Greek Style",Athletics
"Art Competitions Mixed Music, Instrumental And Chamber",Art Competitions
Curling Men's Curling,Curling
Gymnastics Men's Tumbling,Gymnastics
Synchronized Swimming Women's Duet,Synchronized Swimming
"Wrestling Men's Super-Heavyweight, Freestyle",Wrestling
"Cycling Women's Mountainbike, Cross-Country",Cycling
Swimming Women's 50 metres Freestyle,Swimming
Figure Skating Men's Special Figures,Figure Skating
Badminton Men's Singles,Badminton
"Swimming Men's 4,000 metres Freestyle",Swimming
"Athletics Women's 10,000 metres",Athletics
"Speed Skating Women's 5,000 metres",Speed Skating
Swimming Women's 4 x 100 metres Freestyle Relay,Swimming
"Athletics Men's 3,200 metres Steeplechase",Athletics
Cross Country Skiing Women's 5/5 kilometres Pursuit,Cross Country Skiing
"Art Competitions Mixed Architecture, Unknown Event",Art Competitions
Cycling Women's Points Race,Cycling
Sailing Mixed 10 metres,Sailing
"Art Competitions Mixed Sculpturing, Medals",Art Competitions
Weightlifting Women's Middleweight,Weightlifting
"Cycling Men's Team Pursuit, 4,000 metres",Cycling
Cross Country Skiing Women's Team Sprint,Cross Country Skiing
"Art Competitions Mixed Painting, Applied Arts",Art Competitions
"Canoeing Men's Canadian Doubles, 10,000 metres",Canoeing
